"Trial","Point","Treatment","Exemplar","Stage","Spp","ID","Distance"
17,"TF20","MSFSOLO","MYSC8","PRE","THSCH","THSCH3",20
17,"TF20","MSFSOLO","MYSC8","PRE","MONIG","MONIG1",15
17,"TF20","MSFSOLO","MYSC8","PRE","ELPLA","ELPLA1",15
17,"TF20","MSFSOLO","MYSC8","PRE","MYSCL","MYSCL1",30
17,"TF20","MSFSOLO","MYSC8","PRE","BAMAR","BAMAR1",30
17,"TF20","MSFSOLO","MYSC8","PRE","MYGAI","MYGAI1",20
17,"TF20","MSFSOLO","MYSC8","PRE","ANSTR","ANSTR1",40
17,"TF20","MSFSOLO","MYSC8","POST","TRCUR","TRCUR1",20
17,"TF20","MSFSOLO","MYSC8","POST","THSCH","THSCH1",20
17,"TF20","MSFSOLO","MYSC8","POST","THSCH","THSCH2",20
17,"TF20","MSFSOLO","MYSC8","POST","RHSIM","RHSIM1",30
17,"TF20","MSFSOLO","MYSC8","POST","PYSTE","PYSTE1",40
17,"TF20","MSFSOLO","MYSC8","POST","GLSPI","GLSPI1",40
17,"TF20","MSFSOLO","MYSC8","POST","SCHEM","SCHEM1",40
17,"TF20","MSFSOLO","MYSC8","POST","THSCH","THSCH3",30
17,"TF20","MSFSOLO","MYSC8","POST","SCHEM","SCHEM2",40
17,"TF20","MSFSOLO","MYSC8","POST","UKCAN","UKCAN1",10
17,"TF20","MSFSOLO","MYSC8","POST","TACHI","TACHI1",10
18,"TF19","NFSOLO","LECO2","PRE","VILEU","VILEU1",60
18,"TF19","NFSOLO","LECO2","PRE","THSCH","THSCH1",60
18,"TF19","NFSOLO","LECO2","PRE","MIMAR","MIMAR1",80
18,"TF19","NFSOLO","LECO2","PRE","MYLEU","MYLEU1",30
18,"TF19","NFSOLO","LECO2","PRE","CATUR","CATUR1",20
18,"TF19","NFSOLO","LECO2","PRE","LAHYP","LAHYP1",80
18,"TF19","NFSOLO","LECO2","PRE","MYMYO","MYMYO1",60
18,"TF19","NFSOLO","LECO2","PRE","MYMYO","MYMYO2",60
18,"TF19","NFSOLO","LECO2","PRE","HEGRI","HEGRI1",30
18,"TF19","NFSOLO","LECO2","PRE","SCHEM","SCHEM1",60
18,"TF19","NFSOLO","LECO2","PRE","ELPLA","ELPLA1",10
18,"TF19","NFSOLO","LECO2","PRE","ELPLA","ELPLA2",10
18,"TF19","NFSOLO","LECO2","POST","MYMYO","MYMYO1",20
18,"TF19","NFSOLO","LECO2","POST","VILEU","VILEU1",60
18,"TF19","NFSOLO","LECO2","POST","HEGRI","HEGRI1",15
18,"TF19","NFSOLO","LECO2","POST","MYMYO","MYMYO2",15
18,"TF19","NFSOLO","LECO2","POST","MONIG","MONIG1",15
18,"TF19","NFSOLO","LECO2","POST","TRCUR","TRCUR1",70
18,"TF19","NFSOLO","LECO2","POST","ELPLA","ELPLA1",10
18,"TF19","NFSOLO","LECO2","POST","LAHYP","LAHYP1",70
18,"TF19","NFSOLO","LECO2","POST","CATUR","CATUR1",100
18,"TF19","NFSOLO","LECO2","POST","PHHIS","PHHIS1",20
18,"TF19","NFSOLO","LECO2","POST","XIELE","XIELE1",80
18,"TF19","NFSOLO","LECO2","POST","CATUR","CATUR1",30
19,"TF9","CTRL","CTRL3","PRE","CECIN","CECIN1",60
19,"TF9","CTRL","CTRL3","PRE","ZIGRA","ZIGRA1",50
19,"TF9","CTRL","CTRL3","PRE","PICHL","PICHL1",60
19,"TF9","CTRL","CTRL3","PRE","TRVIR","TRVIR1",50
19,"TF9","CTRL","CTRL3","PRE","ATSPA","ATSPA1",35
19,"TF9","CTRL","CTRL3","PRE","TRVIR","TRVIR2",70
19,"TF9","CTRL","CTRL3","PRE","TRCOL","TRCOL1",70
19,"TF9","CTRL","CTRL3","PRE","FOANA","FOANA1",80
19,"TF9","CTRL","CTRL3","PRE","CAAUR","CAAUR1",50
19,"TF9","CTRL","CTRL3","PRE","CYROT","CYROT1",45
19,"TF9","CTRL","CTRL3","PRE","ANSTR","ANSTR1",50
19,"TF9","CTRL","CTRL3","POST","TRVIR","TRVIR1",50
19,"TF9","CTRL","CTRL3","POST","PICHL","PICHL1",60
19,"TF9","CTRL","CTRL3","POST","FOANA","FOANA1",80
19,"TF9","CTRL","CTRL3","POST","AUINF","AUINF1",40
19,"TF9","CTRL","CTRL3","POST","MYGAI","MYGAI1",40
19,"TF9","CTRL","CTRL3","POST","CECIN","CECIN1",50
19,"TF9","CTRL","CTRL3","POST","UKCAN","UKCAN1",20
19,"TF9","CTRL","CTRL3","POST","HEGRI","HEGRI1",35
19,"TF9","CTRL","CTRL3","POST","MYMYO","MYMYO1",35
19,"TF9","CTRL","CTRL3","POST","XIGUT","XIGUT1",40
20,"TF12","CTRL","CTRL2","PRE","UKCAN","UKCAN1",20
20,"TF12","CTRL","CTRL2","PRE","PAHYP","PAHYP1",20
20,"TF12","CTRL","CTRL2","PRE","MYGAI","MYGAI1",20
20,"TF12","CTRL","CTRL2","PRE","SCHEM","SCHEM1",40
20,"TF12","CTRL","CTRL2","PRE","TRVIR","TRVIR1",50
20,"TF12","CTRL","CTRL2","PRE","FOANA","FOANA1",50
20,"TF12","CTRL","CTRL2","PRE","MYSCL","MYSCL1",60
20,"TF12","CTRL","CTRL2","PRE","FOANA","FOANA1",50
20,"TF12","CTRL","CTRL2","PRE","TRCUR","TRCUR1",50
20,"TF12","CTRL","CTRL2","PRE","SCHEM","SCHEM1",50
20,"TF12","CTRL","CTRL2","PRE","TACHI","TACHI1",20
20,"TF12","CTRL","CTRL2","PRE","LAVER","LAVER1",30
20,"TF12","CTRL","CTRL2","PRE","XIELE","XIELE1",50
20,"TF12","CTRL","CTRL2","POST","FOANA","FOANA1",30
20,"TF12","CTRL","CTRL2","POST","PAHYP","PAHYP1",30
20,"TF12","CTRL","CTRL2","POST","MYSCL","MYSCL1",40
20,"TF12","CTRL","CTRL2","POST","THARD","THARD1",10
20,"TF12","CTRL","CTRL2","POST","TRCUR","TRCUR1",60
20,"TF12","CTRL","CTRL2","POST","TRCUR","TRCUR1",60
20,"TF12","CTRL","CTRL2","POST","CEGRA","CEGRA1",50
20,"TF12","CTRL","CTRL2","POST","SCHEM","SCHEM1",50
20,"TF12","CTRL","CTRL2","POST","MYGAI","MYGAI1",60
20,"TF12","CTRL","CTRL2","POST","MONIG","MONIG1",60
20,"TF12","CTRL","CTRL2","POST","PICHL","PICHL1",50
21,"TF14","MSFSOLO","THAR6","PRE","LECOR","LECOR1",40
21,"TF14","MSFSOLO","THAR6","PRE","MIGIL","MIGIL1",65
21,"TF14","MSFSOLO","THAR6","PRE","COTOR","COTOR1",50
21,"TF14","MSFSOLO","THAR6","PRE","PHHIS","PHHIS1",5
21,"TF14","MSFSOLO","THAR6","PRE","XIGUT","XIGUT1",75
21,"TF14","MSFSOLO","THAR6","POST","LECOR","LECOR1",40
21,"TF14","MSFSOLO","THAR6","POST","SIGRI","SIGRI1",80
21,"TF14","MSFSOLO","THAR6","POST","UK","UK3",10
21,"TF14","MSFSOLO","THAR6","POST","COTOR","COTOR1",80
21,"TF14","MSFSOLO","THAR6","POST","FOANA","FOANA1",80
21,"TF14","MSFSOLO","THAR6","POST","DERUF","DERUF1",40
22,"TF22","MSF","MSF3","PRE","PAHYP","PAHYP1",40
22,"TF22","MSF","MSF3","PRE","PYSTE","PYSTE1",40
22,"TF22","MSF","MSF3","PRE","MIMAR","MIMAR1",40
22,"TF22","MSF","MSF3","PRE","MIMAR","MIMAR2",40
22,"TF22","MSF","MSF3","PRE","ELPLA","ELPLA1",60
22,"TF22","MSF","MSF3","PRE","ELPLA","ELPLA2",60
22,"TF22","MSF","MSF3","PRE","TRCOL","TRCOL1",50
22,"TF22","MSF","MSF3","PRE","LAHYP","LAHYP1",20
22,"TF22","MSF","MSF3","PRE","XIELE","XIELE1",20
22,"TF22","MSF","MSF3","PRE","MYMYO","MYMYO1",60
22,"TF22","MSF","MSF3","PRE","MYMYO","MYMYO2",60
22,"TF22","MSF","MSF3","PRE","PHHIS","PHHIS1",10
22,"TF22","MSF","MSF3","PRE","HEGRI","HEGRI1",10
22,"TF22","MSF","MSF3","PRE","SCHEM","SCHEM1",30
22,"TF22","MSF","MSF3","POST","HEGRI","HEGRI1",10
22,"TF22","MSF","MSF3","POST","CAAUR","CAAUR1",40
22,"TF22","MSF","MSF3","POST","ELPLA","ELPLA1",60
22,"TF22","MSF","MSF3","POST","ELPLA","ELPLA2",60
22,"TF22","MSF","MSF3","POST","MYMYO","MYMYO1",40
22,"TF22","MSF","MSF3","POST","MYMYO","MYMYO2",40
22,"TF22","MSF","MSF3","POST","LAHYP","LAHYP1",50
22,"TF22","MSF","MSF3","POST","UKCAN","UKCAN1",30
22,"TF22","MSF","MSF3","POST","PYSTE","PYSTE1",40
22,"TF22","MSF","MSF3","POST","PAHYP","PAHYP1",40
23,"TF13","NFSOLO","MOMO8","PRE","MIMAR","MIMAR1",50
23,"TF13","NFSOLO","MOMO8","PRE","DERUF","DERUF1",50
23,"TF13","NFSOLO","MOMO8","PRE","SCHEM","SCHEM1",40
23,"TF13","NFSOLO","MOMO8","PRE","MYMEN","MYMEN1",65
23,"TF13","NFSOLO","MOMO8","PRE","TRCUR","TRCUR1",80
23,"TF13","NFSOLO","MOMO8","PRE","PHPAV","PHPAV1",40
23,"TF13","NFSOLO","MOMO8","PRE","SYUCA","SYUCA1",10
23,"TF13","NFSOLO","MOMO8","PRE","XIGUT","XIGUT1",20
23,"TF13","NFSOLO","MOMO8","PRE","MYAXI","MYAXI1",10
23,"TF13","NFSOLO","MOMO8","POST","XIGUT","XIGUT1",15
23,"TF13","NFSOLO","MOMO8","POST","SCHEM","SCHEM1",40
23,"TF13","NFSOLO","MOMO8","POST","NOHYP","NOHYP1",10
23,"TF13","NFSOLO","MOMO8","POST","PHPAV","PHPAV1",40
23,"TF13","NFSOLO","MOMO8","POST","DERUF","DERUF1",20
23,"TF13","NFSOLO","MOMO8","POST","MIMAR","MIMAR1",50
23,"TF13","NFSOLO","MOMO8","POST","MECRU","MECRU1",50
23,"TF13","NFSOLO","MOMO8","POST","TRCUR","TRCUR1",80
24,"TF27","NF","NF4","PRE","MIRUF","MIRUF1",50
24,"TF27","NF","NF4","PRE","MYMYO","MYMYO1",15
24,"TF27","NF","NF4","PRE","MYMYO","MYMYO2",15
24,"TF27","NF","NF4","PRE","SCHEM","SCHEM1",15
24,"TF27","NF","NF4","PRE","CECIN","CECIN1",15
24,"TF27","NF","NF4","PRE","ANSTR","ANSTR1",15
24,"TF27","NF","NF4","PRE","MYMYO","MYMYO3",40
24,"TF27","NF","NF4","PRE","CECIN","CECIN2",15
24,"TF27","NF","NF4","PRE","MIMAR","MIMAR1",60
24,"TF27","NF","NF4","POST","MYMYO","MYMYO1",25
24,"TF27","NF","NF4","POST","MIRUF","MIRUF1",60
24,"TF27","NF","NF4","POST","CECIN","CECIN2",20
24,"TF27","NF","NF4","POST","MYMYO","MYMYO2",20
24,"TF27","NF","NF4","POST","WIPOE","WIPOE1",10
24,"TF27","NF","NF4","POST","MYMYO","MYMYO3",30
24,"TF27","NF","NF4","POST","CECIN","CECIN1",20
24,"TF27","NF","NF4","POST","MYMYO","MYMYO4",20
24,"TF27","NF","NF4","POST","WIPOE","WIPOE2",10
24,"TF27","NF","NF4","POST","DRLIN","DRLIN1",30
24,"TF27","NF","NF4","POST","CRUND","CRUND1",30
24,"TF27","NF","NF4","POST","THSCH","THSCH1",45
25,"TF28","MSF","MSF4","PRE","MYMYO","MYMYO1",50
25,"TF28","MSF","MSF4","PRE","SCHEM","SCHEM1",40
